start_time,end_time,start_lat         ,start_lng         ,end_lat           ,end_lng           ,act_duration,duration,distance,labels
22.2      ,22.6    ,118.962893        ,32.112398999999996,118.96175500000001,32.114959000000006,1560        ,95      ,395     ,0
18.2      ,18.7    ,118.953387        ,32.116738         ,118.955441        ,32.111562         ,1800        ,132     ,551     ,0
11.6      ,11.7    ,118.96063400000001,32.109507         ,118.95583799999999,32.111436         ,240         ,162     ,675     ,2
7.8       ,11.5    ,118.964368        ,32.117922         ,118.96063400000001,32.109507         ,13140       ,337     ,1404    ,3
11.8      ,17.0    ,118.95583799999999,32.111436         ,118.95528         ,32.112508         ,18840       ,31      ,129     ,1
17.5      ,18.1    ,118.95528         ,32.112508         ,118.953387        ,32.116738         ,2280        ,114     ,474     ,0
1.7       ,10.0    ,118.960811        ,32.111281         ,118.960822        ,32.111431         ,29760       ,4       ,16      ,1
12.0      ,17.8    ,118.960822        ,32.111431         ,118.959427        ,32.111905         ,20700       ,20      ,83      ,1
6.8       ,8.8     ,118.95913700000001,32.118158         ,118.95868700000001,32.111276000000004,7200        ,218     ,907     ,2
9.5       ,10.8    ,118.951187        ,32.112657         ,118.951182        ,32.112389         ,4680        ,7       ,28      ,2
14.0      ,14.1    ,118.957249        ,32.116391         ,118.963182        ,32.112846999999995,240         ,198     ,827     ,2
10.3      ,10.3    ,118.952909        ,32.117641         ,118.95314499999999,32.116913000000004,120         ,13      ,56      ,2
13.7      ,13.8    ,118.953891        ,32.124604         ,118.957249        ,32.116391         ,480         ,295     ,1230    ,3
6.2       ,7.3     ,118.95387         ,32.123212         ,118.953768        ,32.123067         ,4200        ,5       ,19      ,2
11.4      ,11.5    ,118.95314499999999,32.116913000000004,118.95423400000001,32.112168         ,240         ,149     ,619     ,2
12.3      ,13.2    ,118.95423400000001,32.112168         ,118.96054299999999,32.109716999999996,3360        ,204     ,848     ,2
13.3      ,13.5    ,118.96054299999999,32.109716999999996,118.95384299999999,32.12454          ,720         ,494     ,2060    ,3
8.5       ,8.5     ,118.95387         ,32.123182         ,118.95228200000001,32.119025         ,120         ,136     ,568     ,2
8.6       ,9.7     ,118.95228200000001,32.119025         ,118.952909        ,32.117641         ,3780        ,37      ,154     ,2
22.5      ,22.7    ,118.962635        ,32.114569         ,118.963284        ,32.115005         ,840         ,17      ,72      ,0
8.5       ,12.0    ,118.96021599999999,32.113613         ,118.95953999999999,32.112685         ,12600       ,62      ,260     ,2
12.0      ,12.1    ,118.95953999999999,32.112685         ,118.96253300000001,32.113009999999996,240         ,101     ,419     ,2
9.2       ,9.3     ,118.95958300000001,32.116781         ,118.953392        ,32.115481         ,360         ,188     ,785     ,2
7.7       ,8.5     ,118.96274199999999,32.116690000000006,118.95876200000001,32.112883000000004,2760        ,169     ,703     ,2
12.5      ,12.6    ,118.962281        ,32.114969         ,118.955597        ,32.115375         ,240         ,186     ,773     ,2
9.4       ,9.6     ,118.953392        ,32.115481         ,118.960618        ,32.111456         ,840         ,248     ,1033    ,2
10.2      ,11.6    ,118.954631        ,32.112424         ,118.962946        ,32.113514         ,5160        ,212     ,885     ,2
12.2      ,12.4    ,118.95635300000001,32.115714000000004,118.962281        ,32.114969         ,960         ,159     ,661     ,2
10.0      ,10.1    ,118.960618        ,32.111456         ,118.954631        ,32.112424         ,240         ,163     ,680     ,2
9.1       ,9.2     ,118.96133200000001,32.109613         ,118.95958300000001,32.116781         ,360         ,240     ,998     ,2
12.6      ,12.6    ,118.955597        ,32.115375         ,118.956327        ,32.111329         ,120         ,118     ,492     ,2
8.5       ,8.6     ,118.95876200000001,32.112883000000004,118.96133200000001,32.109613         ,240         ,132     ,551     ,2
13.7      ,17.8    ,118.95596200000001,32.112969         ,118.96271000000002,32.112334999999995,14580       ,188     ,785     ,0
11.7      ,11.8    ,118.962957        ,32.113433         ,118.96216799999999,32.115357         ,120         ,92      ,385     ,2
12.0      ,12.0    ,118.96216799999999,32.115357         ,118.95635300000001,32.115714000000004,120         ,151     ,630     ,2
14.0      ,14.3    ,118.96278500000001,32.112956         ,118.962957        ,32.112885999999996,1200        ,5       ,19      ,2
15.8      ,15.8    ,118.962957        ,32.112885999999996,118.959856        ,32.114903000000005,120         ,92      ,383     ,0
8.5       ,8.6     ,118.96366         ,32.109303999999995,118.963209        ,32.113271000000005,240         ,217     ,903     ,2
15.9      ,16.0    ,118.959856        ,32.114903000000005,118.959744        ,32.112586         ,480         ,121     ,505     ,0
22.7      ,23.5    ,118.962603        ,32.115136         ,118.961401        ,32.115321         ,2880        ,29      ,122     ,0
12.0      ,22.6    ,118.95411100000001,32.113712         ,118.962603        ,32.115136         ,38040       ,236     ,982     ,1
11.5      ,11.9    ,118.956015        ,32.111415         ,118.95411100000001,32.113712         ,1320        ,88      ,367     ,2
8.7       ,10.2    ,118.96153000000001,32.10994          ,118.962158        ,32.115293         ,5460        ,174     ,726     ,2
10.6      ,11.5    ,118.962356        ,32.115255         ,118.956015        ,32.111415         ,3360        ,241     ,1003    ,2
10.0      ,12.1    ,118.96258700000001,32.111478999999996,118.962952        ,32.111413         ,7860        ,8       ,35      ,2
16.6      ,17.9    ,118.96319299999999,32.110543         ,118.95461         ,32.114201         ,4680        ,279     ,1162    ,0
8.2       ,8.6     ,118.962608        ,32.111643         ,118.96258700000001,32.111478999999996,1440        ,4       ,18      ,2
0.6       ,6.6     ,118.962549        ,32.111365         ,118.962608        ,32.111643         ,21540       ,7       ,31      ,1
13.7      ,14.6    ,118.956337        ,32.114721         ,118.96319299999999,32.110543         ,3120        ,267     ,1113    ,3
11.3      ,13.6    ,118.955956        ,32.111035         ,118.956783        ,32.109018         ,8460        ,243     ,1012    ,2
10.5      ,11.1    ,118.958767        ,32.111321999999994,118.955956        ,32.111035         ,2040        ,78      ,324     ,2
9.9       ,10.1    ,118.960672        ,32.111484000000004,118.958767        ,32.111321999999994,960         ,67      ,279     ,2
7.8       ,7.9     ,118.962699        ,32.113532         ,118.960237        ,32.111342         ,240         ,107     ,445     ,2
13.7      ,22.1    ,118.956783        ,32.109018         ,118.95589199999999,32.110779         ,30000       ,516     ,2152    ,1
12.4      ,12.8    ,118.964132        ,32.116125         ,118.963874        ,32.109023         ,1320        ,248     ,1034    ,2
7.0       ,7.1     ,118.954202        ,32.114616999999996,118.958767        ,32.111902         ,480         ,155     ,644     ,2
2.2       ,2.5     ,118.95391299999999,32.113182         ,118.954374        ,32.114665         ,1080        ,54      ,224     ,2
7.6       ,12.0    ,118.958767        ,32.111902         ,118.96434599999999,32.11616          ,15960       ,239     ,995     ,2
22.1      ,23.7    ,118.957866        ,32.114467         ,118.957222        ,32.112726         ,5760        ,71      ,296     ,0
9.4       ,10.0    ,118.957866        ,32.114467         ,118.95769399999999,32.114455         ,1920        ,3       ,11      ,2
17.5      ,17.9    ,118.957866        ,32.114467         ,118.958628        ,32.112646999999996,1440        ,59      ,247     ,0
14.6      ,14.9    ,118.95945400000001,32.113071000000005,118.957222        ,32.112726         ,960         ,57      ,236     ,0
18.2      ,19.9    ,118.958628        ,32.112646999999996,118.95796299999999,32.114244         ,6120        ,54      ,224     ,0
9.5       ,10.0    ,118.964223        ,32.11611          ,118.95948100000001,32.116116999999996,1800        ,237     ,986     ,2
10.6      ,11.6    ,118.95948100000001,32.116116999999996,118.955731        ,32.110832         ,3600        ,209     ,872     ,2
7.7       ,9.5     ,118.96436200000001,32.116049         ,118.964223        ,32.11611          ,6300        ,4       ,15      ,2
11.6      ,11.7    ,118.955731        ,32.110832         ,118.962195        ,32.112584000000005,240         ,192     ,800     ,2
12.0      ,22.3    ,118.962195        ,32.112584000000005,118.962222        ,32.112829999999995,36960       ,6       ,26      ,1
8.3       ,8.4     ,118.952008        ,32.121171999999994,118.952979        ,32.117965000000005,240         ,84      ,348     ,2
11.4      ,11.4    ,118.952979        ,32.117965000000005,118.951311        ,32.11762          ,120         ,44      ,182     ,2
11.5      ,11.5    ,118.951311        ,32.11762          ,118.95590800000001,32.111438         ,120         ,223     ,930     ,2
2.2       ,12.6    ,118.958794        ,32.112716         ,118.96216799999999,32.114432         ,37500       ,121     ,503     ,1
12.8      ,12.9    ,118.96216799999999,32.114432         ,118.96044599999999,32.11575          ,480         ,65      ,269     ,2
