,HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,NORTHERN_SCH,DE_AREA,C_AREA,MALL_AREA,timeStamp
270,2065,652,134,178,497,467,109,2022-11-15-23-45
271,2696,936,135,178,731,582,109,2022-11-15-23-56
272,2717,937,132,178,753,581,110,2022-11-16-00-07
273,2762,939,162,178,754,592,109,2022-11-16-00-45
274,2766,942,164,178,755,586,110,2022-11-16-01-24
275,2737,943,164,179,730,583,108,2022-11-16-02-02
276,2647,877,170,179,725,564,106,2022-11-16-02-40
277,2756,938,162,178,751,595,104,2022-11-16-03-25
278,2760,932,167,179,753,598,105,2022-11-16-04-04
279,2769,942,164,179,753,595,109,2022-11-16-04-42
280,2756,951,162,179,736,595,109,2022-11-16-05-20
281,2711,952,166,181,679,599,109,2022-11-16-05-58
282,2602,956,169,177,700,468,105,2022-11-16-06-35
283,2773,968,172,179,764,564,99,2022-11-16-06-46
284,2613,986,180,183,701,445,92,2022-11-16-06-56
285,2721,962,198,196,672,576,91,2022-11-16-07-07
286,2245,728,314,204,389,493,91,2022-11-16-07-15
287,2654,592,873,222,378,477,90,2022-11-16-07-32
288,2695,452,1254,384,167,347,84,2022-11-16-07-46
289,2616,377,1361,460,122,218,71,2022-11-16-07-58
290,2545,218,1601,559,35,67,59,2022-11-16-08-11
291,2754,112,1839,635,32,84,46,2022-11-16-08-23
292,2763,101,1895,652,22,45,43,2022-11-16-08-33
293,2794,110,1870,656,73,40,40,2022-11-16-08-44
294,2775,100,1895,634,80,20,41,2022-11-16-08-54
295,2838,111,1940,668,56,17,41,2022-11-16-09-04
296,2844,108,1937,664,50,37,43,2022-11-16-09-14
297,2843,88,1943,671,70,25,41,2022-11-16-09-24
298,2895,106,1980,661,58,47,38,2022-11-16-09-37
299,2847,55,2010,634,51,59,34,2022-11-16-09-50
300,2654,138,1820,506,64,82,33,2022-11-16-10-01
301,2802,148,1921,564,60,70,33,2022-11-16-10-19
302,2811,182,1893,553,73,70,34,2022-11-16-10-29
303,2883,202,1884,578,93,81,39,2022-11-16-10-42
304,2758,249,1673,598,111,79,41,2022-11-16-10-52
305,2901,265,1801,571,114,98,45,2022-11-16-11-01
306,2869,289,1709,556,123,141,44,2022-11-16-11-11
307,2907,307,1705,519,124,201,45,2022-11-16-11-21
308,2839,327,1561,520,145,236,43,2022-11-16-11-31
309,2828,804,766,320,431,453,45,2022-11-16-11-50
310,2712,965,595,238,361,476,58,2022-11-16-12-01
311,2780,1014,568,226,435,453,63,2022-11-16-12-12
312,2902,1081,497,237,546,452,68,2022-11-16-12-28
313,2601,1056,387,207,424,435,64,2022-11-16-12-38
314,2754,993,455,213,587,415,64,2022-11-16-12-50
315,2691,951,491,226,572,363,63,2022-11-16-13-03
316,2638,871,566,222,575,321,58,2022-11-16-13-16
317,2354,745,638,243,368,276,61,2022-11-16-13-24
318,2659,756,770,277,538,244,57,2022-11-16-13-34
319,2455,670,806,281,381,239,60,2022-11-16-13-41
320,2687,721,840,291,518,239,60,2022-11-16-13-52
321,2707,721,857,300,511,241,62,2022-11-16-14-00
322,2691,711,859,299,503,244,60,2022-11-16-14-08
323,2659,703,850,289,498,242,61,2022-11-16-14-18
324,2683,709,861,300,488,245,63,2022-11-16-14-26
325,2713,698,857,323,503,248,67,2022-11-16-14-35
326,2729,696,883,325,488,250,67,2022-11-16-14-45
327,2714,683,872,315,496,261,66,2022-11-16-14-56
328,2682,661,822,307,542,265,64,2022-11-16-15-06
329,2704,709,819,261,564,268,65,2022-11-16-15-20
330,2620,744,749,248,525,267,70,2022-11-16-15-28
331,2750,799,737,257,585,282,73,2022-11-16-15-38
332,2832,811,721,313,590,304,75,2022-11-16-15-50
333,2802,784,693,290,613,327,77,2022-11-16-15-59
334,2911,863,680,291,623,358,79,2022-11-16-16-08
335,2919,868,666,283,634,368,83,2022-11-16-16-18
336,2892,885,661,277,617,355,81,2022-11-16-16-29
337,2971,878,675,269,647,402,84,2022-11-16-16-39
338,2928,896,669,265,598,399,86,2022-11-16-16-49
339,2453,719,665,257,309,403,86,2022-11-16-16-57
340,2986,914,687,262,599,424,86,2022-11-16-17-10
341,2868,877,704,266,495,429,83,2022-11-16-17-18
342,3063,932,696,281,632,422,84,2022-11-16-17-28
343,3045,934,697,262,635,414,86,2022-11-16-17-38
344,3042,930,712,266,617,418,82,2022-11-16-17-48
345,3015,918,723,277,581,413,85,2022-11-16-17-56
346,2789,802,781,283,416,408,83,2022-11-16-18-12
347,2928,804,842,280,507,396,83,2022-11-16-18-23
348,2995,788,909,314,498,385,88,2022-11-16-18-32
349,3009,795,902,336,499,376,88,2022-11-16-18-54
350,3011,801,896,337,485,391,88,2022-11-16-19-04
351,3032,806,887,335,513,387,91,2022-11-16-19-13
352,3001,788,872,335,515,389,90,2022-11-16-19-21
353,3004,787,865,332,527,389,92,2022-11-16-19-31
354,3006,789,863,328,530,391,92,2022-11-16-19-39
355,3003,786,857,329,534,394,90,2022-11-16-19-49
356,2762,721,856,328,365,389,89,2022-11-16-19-56
357,2987,795,826,325,551,389,88,2022-11-16-20-05
358,2990,800,803,321,572,392,88,2022-11-16-20-15
359,3017,830,781,325,576,402,89,2022-11-16-20-24
360,3050,853,768,316,608,405,88,2022-11-16-20-32
361,2969,848,743,312,554,410,89,2022-11-16-20-42
362,2928,851,646,293,616,420,89,2022-11-16-20-53
363,2989,895,593,292,668,438,89,2022-11-16-21-06
364,3019,926,579,289,668,458,84,2022-11-16-21-16
365,3010,930,564,290,668,461,82,2022-11-16-21-26
366,3029,923,550,302,682,474,82,2022-11-16-21-35
367,3054,946,519,301,712,476,84,2022-11-16-21-46
368,2696,891,489,299,439,477,85,2022-11-16-21-54
369,2935,945,477,308,634,470,86,2022-11-16-22-03
370,2691,887,461,312,429,500,86,2022-11-16-22-11
371,2914,943,447,309,609,504,86,2022-11-16-22-21
372,2916,928,445,312,620,509,86,2022-11-16-22-29
373,3032,967,435,315,738,477,84,2022-11-16-22-39
374,3064,957,426,318,747,518,81,2022-11-16-22-51
375,3050,975,423,322,738,495,80,2022-11-16-23-02
376,3079,960,422,322,751,525,83,2022-11-16-23-12
377,3101,979,420,322,754,527,83,2022-11-16-23-23
378,3099,976,415,322,760,527,83,2022-11-16-23-40
379,2521,792,413,321,369,528,82,2022-11-16-23-48
380,3090,985,396,320,761,530,82,2022-11-16-23-59
381,2569,832,411,323,401,505,81,2022-11-17-00-07
382,3100,982,410,322,755,532,82,2022-11-17-00-46
383,3121,986,409,324,761,542,82,2022-11-17-01-24
384,3079,972,410,324,757,514,83,2022-11-17-02-03
385,3025,954,409,324,699,540,80,2022-11-17-02-40
386,3097,990,409,324,729,543,83,2022-11-17-03-17
387,3047,992,409,324,679,543,83,2022-11-17-03-55
388,3050,983,408,324,725,513,82,2022-11-17-04-33
389,2467,810,407,325,371,458,81,2022-11-17-05-09
390,3021,991,406,326,740,461,81,2022-11-17-05-47
391,2860,976,412,327,539,505,84,2022-11-17-06-24
392,2841,940,411,327,527,534,84,2022-11-17-06-34
393,3117,990,413,326,754,534,82,2022-11-17-06-44
394,2511,760,414,325,385,528,81,2022-11-17-06-51
395,3047,976,420,325,735,496,78,2022-11-17-07-02
396,2853,843,628,298,596,398,75,2022-11-17-07-29
